["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission")
1.9680253195238094e+014 5.4234937191431409e-001 2.3186374043512775e+001
1.9705745751190475e+014 5.3239253110908602e-001 2.3753467122498954e+001
1.9731238307142856e+014 5.2236673991673765e-001 2.4321477286055075e+001
1.9756730863095237e+014 5.1156181970380732e-001 2.4890208324694964e+001
1.9782223419047619e+014 4.9973824089472335e-001 2.5458338288154778e+001
1.9807715975000000e+014 4.8736993641177512e-001 2.6024635639142009e+001
1.9833208530952381e+014 4.7521533598835963e-001 2.6589118429311942e+001
1.9858701086904762e+014 4.6362702534932565e-001 2.7153060461040067e+001
1.9884193642857141e+014 4.5225756371008147e-001 2.7717773682694958e+001
1.9909686198809522e+014 4.4043694690914659e-001 2.8283320524648250e+001
1.9935178754761903e+014 4.2784229124343565e-001 2.8848410207984386e+001
1.9960671310714284e+014 4.1482047270939820e-001 2.9411575003805019e+001
1.9986163866666666e+014 4.0207553308569233e-001 2.9972549356327967e+001
("port 2","TE",1,"port 2",1,"transmission")
(50, 3)
1.8737028625000000e+014 1.8119078661102492e-001 -2.8549113949061242e+000
1.8762521180952381e+014 1.8110561801145872e-001 -1.8323609518519277e+000
1.8788013736904762e+014 1.7737520166841667e-001 -8.2627860875710690e-001
1.8813506292857144e+014 1.7048426194845520e-001 1.6536553325496559e-001
1.8838998848809525e+014 1.6308531102608970e-001 1.1696675522525295e+000
1.8864491404761903e+014 1.5638014753629342e-001 2.2017291555052569e+000
1.8889983960714284e+014 1.5167015698346439e-001 3.2396919395501071e+000
1.8915476516666666e+014 1.5000523039338298e-001 4.2558315667923114e+000
1.8940969072619047e+014 1.4938530267477135e-001 5.2515513304082342e+000
1.8966461628571428e+014 1.4574050999156782e-001 6.2425048772982814e+000
1.8991954184523809e+014 1.3850766819994978e-001 7.2376678376692789e+000
1.9017446740476191e+014 1.3193200641934300e-001 8.2479965853308830e+000
1.9042939296428572e+014 1.2931049419349089e-001 9.2820879231216296e+000
1.9068431852380953e+014 1.2936261623511167e-001 1.0320980965762406e+001
1.9093924408333334e+014 1.2891889972045736e-001 1.1332890005247172e+001
1.9119416964285712e+014 1.2654701777479874e-001 1.2315596534436214e+001
1.9144909520238094e+014 1.2205165770362997e-001 1.3300991677214263e+001
1.9170402076190475e+014 1.1584907110698939e-001 1.4315264981762670e+001
1.9195894632142856e+014 1.1067979255788579e-001 1.5351396014024211e+001
1.9221387188095237e+014 1.0948573283046503e-001 1.6383931380967333e+001
1.9246879744047619e+014 1.1103575820355059e-001 1.7397481874619629e+001
1.9272372300000000e+014 1.1086794250965055e-001 1.8390509892155343e+001
1.9297864855952381e+014 1.0689330262240533e-001 1.9369930404718968e+001
1.9323357411904762e+014 1.0137164001785980e-001 2.0359941919374343e+001
1.9348849967857144e+014 9.7266792577310052e-002 2.1388047217321219e+001
1.9374342523809522e+014 9.5702236450366254e-002 2.2441043025261980e+001
1.9399835079761903e+014 9.6077257287930803e-002 2.3471794578672789e+001
1.9425327635714284e+014 9.6712364780468879e-002 2.4461041340332972e+001
1.9450820191666666e+014 9.5325133739278423e-002 2.5434844098391014e+001
1.9476312747619047e+014 9.0628753802908316e-002 2.6424194001140826e+001
1.9501805303571428e+014 8.4915286485039182e-002 2.7441426556708883e+001
1.9527297859523809e+014 8.2255281235580749e-002 2.8482182726337552e+001
1.9552790415476191e+014 8.3442133202545080e-002 2.9522797703341663e+001
1.9578282971428572e+014 8.5121698078857846e-002 3.0533076091680318e+001
1.9603775527380953e+014 8.4268513037439610e-002 3.1505705175878767e+001
1.9629268083333331e+014 8.0924205751729372e-002 3.2470813612415391e+001
1.9654760639285712e+014 7.6501198539622561e-002 3.3474429879562550e+001
1.9680253195238094e+014 7.2975182610482664e-002 3.4525741458423681e+001
1.9705745751190475e+014 7.2365146413947506e-002 3.5579213147266152e+001
1.9731238307142856e+014 7.4278555905069585e-002 3.6591558426164283e+001
1.9756730863095237e+014 7.5554852942806797e-002 3.7568527990057611e+001
1.9782223419047619e+014 7.3316239477727252e-002 3.8535956602067472e+001
1.9807715975000000e+014 6.8392201703095984e-002 3.9519006981507268e+001
1.9833208530952381e+014 6.4395594727746780e-002 4.0544514192773306e+001
1.9858701086904762e+014 6.3703976707758209e-002 4.1606676012866863e+001
1.9884193642857141e+014 6.5332905876370112e-002 4.2649187599368290e+001
1.9909686198809522e+014 6.6635567585412170e-002 4.3633434570537652e+001
1.9935178754761903e+014 6.5969622460574820e-002 4.4583405116518492e+001
1.9960671310714284e+014 6.2750904549905229e-002 4.5553437290135570e+001
1.9986163866666666e+014 5.8154127025665171e-002 4.6575349897666278e+001
